,level_0,index,input,label
0,0,7729,perfect!!,clothing
1,1,1254,perfect no issues,clothing
2,2,985,"For years I carried a Land's End Square Rigger, which at the time was a great canvas attache.
Got away from those because I wanted something classier, in leather.
After many years i realized that leather was heavy so went to get another one, but Land's End had changed and the reviews of the new bags turned me away.

Wanted something lightweight with loads of pockets, accessible from the top, with a handle as well as shoulder straps, with a rear slip pocket and could be stuffed without breaking the zipper.
Made a few mistakes along the way, and somehow came across this bag.

I like it more than my old Land's End bags.
There are two large pockets instead of the one, with access from the top for one and a flap cover for the other.
The flap can be easily opened with one hand while on the shoulder.
The organizational possibilities are outstanding due to the pocket arrangement and the number of them.
It's lightweight, not overly large, and can be stuffed without worry.
Can carry it by the handle without closing the flap cover.

It's not canvas, but I like the material, which should show less wear and tear in the long run.
Not crazy about the color, but can live with it.
Marking it down 1 star because of it.

Happy with the bag.",clothing
3,3,5827,They were perfect!,clothing
4,4,578,love it,clothing
5,5,7986,"Converse are not really the most comfortable, but good on special occasions.",clothing
6,6,8952,Fits as expected.,clothing
7,7,43,These hats are so cute and get oh's and ahh's at every shower! so cute and great quick projects!,clothing
8,8,9343,Very good for me.,clothing
9,9,8388,cant go wrong with the classics. the john Lennon of shoes i would say,clothing
10,10,1985,"It took me 4 tries to find the size that fits me.  I usually wear a 10.5 in mens.  Finally found that the 9.5 in men's fits good.  A little roomy, but they are comfy.",clothing
11,11,8405,"Slightly more narrow than expected.  Eventually, after several months of walking and weightlifting in these shoes, the canvas upper cracked where my toes meet the rest of the foot.  I guess the constant bending right at that point caused the eventual break.  I can still wear them but they don't look great.

Before that, great shoe.  Good lifting shoe, but also a good, casual sneaker for everyday wear.  Also, order a size down from your typical shoe.",clothing
12,12,9377,It came fast and the shoe fits just right! I love it,clothing
13,13,1949,head piece is awesome foam that when you get it if you make it damp and let it dry it stands up perfectly.  I also used my steamer and it was perfect!  I got a ton of compliments.,clothing
14,14,5319,I bought these for my granddaughter last Christmas. She loved them. I cant really tell about the arch support because I'm not the one wearing them. But she wears them all day and she thinks they are comfortable.,clothing
15,15,4939,These shoes are absolutely adorable!  They fit as expected and are true to size.  I wear 8 1/2 womens and ordered the mens 6 1/2 and they fit perfectly.,clothing
16,16,1271,"Received in a timely manner, no holes or poor construction once received.  My only beef with it is that the wings ride so high on the back that the edges of the body of the pack touch the top of the head.  The pack only stays as low as it is in the picture when there is no movement.

Otherwise, my son loves the fact that he can be just like Buzz Lightyear.",clothing
17,17,7135,love them.,clothing
18,18,6452,Sizes are completely off compared to in stores,clothing
19,19,5452,Love these shoes!,clothing
20,20,8340,"Cool shoes and they look great.  Word of caution though...you're feet will hurt, there's no support, and they take a very long time to break in.",clothing
21,21,3134,"Shoes are perfect! However if your a 6.5 Wide I'd recommend getting a size 4 and if your a standard 6.5 I recommend getting 3.5/4 depending on your  preference on fitting!
I got a 4.5 and it gives me a little to much toe room, but nothing a little stuffing can't fix!",clothing
22,22,1161,Even after growing out of the costume my  4 year old son loves to put these wings on and pretend to fly around the house. They have held up for a year of being banded around and re-inflated at least once a week. The only down side to these is that they go on the shoulders via elastic pieces that connect by Velcro.  The Velcro hasn't worked very well since we first purchased them. On Halloween we actually taped them together.,clothing
23,23,2622,they're Chucks...awesome and comfy,clothing
24,24,7594,Ok,clothing
25,25,333,Fits perfectly as a maternity shirt.,clothing
26,26,9395,Love the shoes !!! But definitely get it smaller !! I'm a size 7 in woman I had to get a 5 so that it can fit,clothing
27,27,2685,Excellent,clothing
28,28,7533,"Chuck's are my daughters favorite, and i like them too.",clothing
29,29,1817,"This wach is very light weight and good quality.  Highly recommanded, I will definitely but it again.",clothing
30,30,3673,"My 14-year-old daughter loves them.  Initially, she didn't like the feeling of the stiff canvas but it softened up quickly.",clothing
31,31,809,"This was almost a 2-star. It's OK. It barely fit my 3 year old, the fabric was really chintzy, and the ears were really floppy and never stood up straight. Also, they looked more like a baby bonnet than a set of costume ears. He was happy with it, so that's all that really matters.",clothing
32,32,7296,"These shoes are well made, comfortable & well worth the price. They last long & my daughter loves them & has only wore Converse the last few years.",clothing
33,33,5658,"Chucks, dude. They're classic. Once you break them in, they really are the most comfortable and versatile shoes. Adored by preps and punks alike.",clothing
34,34,6330,Just ran a little too big maybe a half size overall good,clothing
35,35,7425,"They're Chucks, exactly what you'd expect. Bought these for my wife since they match her parachute rig and jumpsuit. Great look, great style, but no arch/sole support, but thats what you get with Chucks; they're not meant to be running shoes.",clothing
36,36,5284,Good item thanks,clothing
37,37,8194,"Wear half size smaller because shoes tend to stretch around ankles. overall, great shoes. Plan on buying another color! :)",clothing
38,38,6917,Perfect as expected.,clothing
39,39,1556,I bought these as a gift for someone and he is very happy with their sturdiness. They are also lightweight. Just right.,clothing
40,40,6425,"Love the color, but they were slightly larger than other converses I own in the same size. I still love them!!",clothing
41,41,6646,My wife loved these as a surprise present.  She was looking for these shoes for years.,clothing
